Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
28-04-2023,610,Si trắng,1 nhẫn 8p54,8p46,,,,0c
28-04-2023,610,Si trắng,1 dây 5c724,5c716,,,,0c
28-04-2023,610,Si 2-3 màu,2 dây 7c858,7c844,,,,0c
28-04-2023,610,Si 2-3 màu,5 lắc 17c 242,17c202,,,,0c
28-04-2023,610,Si 2-3 màu,3 vòng 13c544,13c504,,,,0c
28-04-2023,610,Si 2-3 màu,3 nhẫn 9c288,9c258,,,,0c
28-04-2023,Ý,Si trắng,11 dây 36c11,36c062,,,,0c
28-04-2023,Ý,Si trắng,5 lắc 12c262,12c22,,,,0c
28-04-2023,Ý,Si trắng,3 vòng 9c96,9c902,,,,0c
28-04-2023,Ý,Si trắng,16 nhẫn 15c584,15c342,,,,0c
28-04-2023,Ý,Si trắng,10 bông 6c206,6c09,,,,0c
28-04-2023,Ý,Si trắng,6 mặt 4c67,4c654,,,,0c
28-04-2023,416,Si trắng,6 dây 9c434,9c4,,,,0c
28-04-2023,416,Si trắng,1 lắc 1c832,1c822,,,,0c
28-04-2023,416,Si trắng,14 nhẫn 12c986,12c884,,,,0c
28-04-2023,416,Si trắng,9 mặt 5c002,4c954,,,,0c
28-04-2023,416,Si trắng,8 bông 3c464,3c418,,,,0c
28-04-2023,750,Si hồng,2 nhẫn cưới xoàn 2c228,2c212,,,,0c
