Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
09-07-2023,750,Si trắng,5 nhẫn cưới xoàn 5c592,5c498,,210,,184c33
09-07-2023,750,Si hồng,1 nhẫn 7p58 (nhẫn xoàn),7p52,,30,,184c33
09-07-2023,416,Si trắng,2 vòng 5c834,5c74,,500,,184c33
09-07-2023,416,Si trắng,4 lắc 5c774,5c644,,480,,184c33
09-07-2023,416,Si trắng,17 dây 18c222,18c124,,2100,,184c33
09-07-2023,416,Si trắng,30 nhẫn 29c236,28c742,,1700,,184c33
09-07-2023,416,Si trắng,13 mặt 5c964,5c844,,570,,184c33
09-07-2023,416,Si trắng,17 bông 9c24,9c07,,820,,184c33
09-07-2023,610,Si 2-3 màu,4 lắc 5c78,5c728,,600,,184c33
09-07-2023,610,Si 2-3 màu,2 mặt 2c866,2c858,,160,,184c33
09-07-2023,610,Si 2-3 màu,1 bông 1c038,1c028,,50,,184c33
09-07-2023,610,Si 2-3 màu,5 dây 15c518,15c478,,1470,,184c33
09-07-2023,Ý,Si trắng,2 vòng 7c32,7c298,,450,,184c33
09-07-2023,Ý,Si trắng,11 nhẫn 15c344,15c234,,620,,184c33
09-07-2023,Ý,Si trắng,10 mặt 5c472,5c404,,400,,184c33
09-07-2023,Ý,Si trắng,3 lắc 4c12,4c102,,435,,184c33
09-07-2023,Ý,Si trắng,15 bông 10c124,9c96,,770,,184c33
09-07-2023,Ý,Si trắng,21 dây 28c818,28c678,,2650,,184c33
