Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
22-06-2023,610,Si trắng,1 dây 10c064,10c026,,300,,276c528
22-06-2023,610,Si trắng,1 lắc 2c736,2c712,,130,,276c528
22-06-2023,610,Si 2-3 màu,1 vòng 1c722,1c716,,100,,276c528
22-06-2023,416,Si trắng,7 vòng 11c914,11c764,,640,,276c528
22-06-2023,416,Si trắng,5 lắc 6c59,6c544,,440,,276c528
22-06-2023,416,Si trắng,21 mặt 8c956,8c904,,425,,276c528
22-06-2023,416,Si trắng,22 dây 30c482,30c388,,2150,,276c528
22-06-2023,416,Si trắng,31 bông 18c016,17c912,,680,,276c528
22-06-2023,Ý,Si trắng,33 nhẫn 44c42,43c99,,1155,,276c528
22-06-2023,Ý,Si trắng,2 vòng 9c15,9c134,,260,,276c528
22-06-2023,Ý,Si trắng,8 lắc 14c536,14c46,,720,,276c528
22-06-2023,Ý,Si trắng,27 mặt 11c994,11c944,,590,,276c528
22-06-2023,Ý,Si trắng,20 dây 28c6,28c448,,1615,,276c528
22-06-2023,Ý,Si trắng,46 bông 33c106,32c994,,1080,,276c528
22-06-2023,416,Si trắng,47 nhẫn 40c952,40c296,,1605,,276c528
22-06-2023,610,Si 2-3 màu,2 lắc 3c296,3c282,,210,,276c528
